,time,S1_D2_HbO,S1_D1_HbO,S2_D2_HbO,S3_D4_HbO,S3_D3_HbO,S2_D3_HbO,S1_D2_HbR,S1_D1_HbR,S2_D2_HbR,S3_D4_HbR,S3_D3_HbR,S2_D3_HbR,Var14,score,labelnum,filename,total_time
0,519.232,0.7389949170000001,0.5016044,0.687646719,0.407400157,-0.1338512303,0.011610016200000002,-0.30436517399999996,-0.09880423699999999,-0.22514202099999997,-0.210571968,-0.32696352100000003,-0.24310184399999998,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
1,520.512,0.8581794370000001,0.68610911,0.7511795040000001,0.5716214570000001,0.08790096932,0.22159633699999998,-0.317662577,-0.09048512680000001,-0.26697772499999994,-0.15413641800000003,-0.2809876,-0.20688860199999998,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
2,521.792,0.944943321,0.84441831,0.807659312,0.6315643379999999,0.293005253,0.43117309399999987,-0.323118913,-0.07954859110000001,-0.2949222,-0.1000459051,-0.22411564300000003,-0.16533994700000001,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
3,523.072,0.96030367,0.920830684,0.8432831040000002,0.6407558179999999,0.456667745,0.597264695,-0.325906783,-0.08071596210000001,-0.300273584,-0.0674555748,-0.164408597,-0.124964877,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
4,524.352,0.8859975349999999,0.8910374660000002,0.8498986009999999,0.623502621,0.565041575,0.663923226,-0.32641912500000003,-0.1008858598,-0.268986458,-0.0631708347,-0.1007964759,-0.1006376483,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
5,525.632,0.7542446899999999,0.772474764,0.823464857,0.6107222310000001,0.6162433490000001,0.60784681,-0.317960266,-0.141235002,-0.203632249,-0.08076017719999999,-0.04399888180000001,-0.10137370700000001,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
6,526.912,0.580835618,0.58335998,0.738453265,0.5906196250000001,0.619268833,0.46342534999999996,-0.298552319,-0.192450821,-0.133228447,-0.1005980692,0.008804974868000002,-0.116744453,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
7,528.192,0.407417855,0.39268160399999996,0.605847667,0.5532539780000001,0.6346047240000001,0.314807449,-0.269716344,-0.23280061400000002,-0.0849014438,-0.10038285890000001,0.06643864559999998,-0.12746986100000002,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
8,529.472,0.28462167099999997,0.21520932600000003,0.46849167499999994,0.45748634499999996,0.6280069480000001,0.182691624,-0.21978981800000003,-0.24435691299999998,-0.048325895599999995,-0.0762184052,0.10903982890000001,-0.129132635,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
9,530.7519999999998,0.202588179,0.11652068910000002,0.35412198699999997,0.37479660500000006,0.573336814,0.06763737919000001,-0.16641622,-0.21531622400000003,-0.004529199129999999,-0.005697901738,0.13098188900000002,-0.10977054400000001,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
10,532.0319999999999,0.136425988,0.054506481300000006,0.252578584,0.288643042,0.47156944600000006,-0.04788203713,-0.12384877100000002,-0.18278244500000002,0.0327985769,0.0661650555,0.12862832200000002,-0.0950191582,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
11,533.312,0.10926980199999999,0.05470092959999999,0.21775818300000002,0.27835262699999996,0.365519786,-0.152263529,-0.10285096599999999,-0.15813819899999998,0.0759192104,0.10944624749999998,0.1080509432,-0.10193641649999999,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
12,534.5919999999999,0.156287735,0.139544336,0.2814447540000001,0.422046296,0.31102304,-0.216981161,-0.104841411,-0.14876926099999999,0.11816325100000002,0.11437510199999998,0.07314666730000001,-0.131108257,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
13,535.872,0.306615046,0.340341651,0.45409802599999993,0.7031270860000001,0.35769415099999996,-0.172966056,-0.12302233699999998,-0.15462788300000002,0.137781024,0.0775953961,0.034254365599999996,-0.175951912,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
14,537.152,0.486853743,0.572159181,0.642766959,0.974822651,0.519820556,-0.008801181147000004,-0.15074015999999998,-0.17738170599999997,0.10802934099999999,0.003455884309599999,0.010796853490000001,-0.21611568600000003,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
15,538.432,0.5894153189999999,0.688195862,0.7399455479999999,1.06447063,0.679184799,0.1538044663,-0.17069375800000003,-0.20771008100000002,0.05053323919999999,-0.09222079109999999,-0.004849423493,-0.248849563,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
16,539.7119999999999,0.540680866,0.6637776409999999,0.675813489,0.9830623860000001,0.729496224,0.21041374300000001,-0.174691922,-0.216151962,-0.0003604446300000008,-0.15031787,-0.004778533130000001,-0.25056349800000005,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
17,540.992,0.35571662400000004,0.4861761639999999,0.44863791499999994,0.710305867,0.660211997,0.13564032930000003,-0.160687106,-0.217577349,-0.052342132900000005,-0.179981894,0.0035719371774000004,-0.23653406999999999,,227.60606060606062,1,L25_NIRS-2019-09-08_003_trial08.txt,33.0
